date,city_name,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain,clouds_all,broken clouds,overcast clouds,scattered clouds,sky is clear,few clouds,fog,light rain,mist,haze,moderate rain,heavy intensity rain,light intensity drizzle,drizzle,heavy intensity drizzle,very heavy rain,thunderstorm with heavy rain,thunderstorm with rain,thunderstorm,proximity shower rain,thunderstorm with light rain,shower rain,light intensity shower rain,light thunderstorm
2010-02-09,Mysuru,24.89,24.47,17.97,31.21,1011.58,50.71,1.27,148.96,0.0,27.04,4,0,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-10,Hassan,22.81,23.1,17.1,29.72,1012.54,74.04,1.63,211.79,0.0,42.83,6,3,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-10,Kodagu,23.7,24.31,19.06,31.83,1012.21,76.21,1.48,184.62,0.0,44.08,9,2,4,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-10,Mysuru,25.97,25.88,19.95,32.49,1012.08,56.75,1.02,173.17,0.0,38.5,10,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-11,Hassan,22.91,23.31,18.96,29.08,1014.46,76.33,1.43,195.58,0.0,76.79,6,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-11,Kodagu,24.04,24.99,20.38,31.89,1014.04,79.92,0.99,164.79,0.11,78.58,6,12,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-11,Mysuru,26.2,26.11,20.87,31.97,1013.71,53.96,1.67,129.75,0.0,70.21,11,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-12,Hassan,23.95,24.19,18.6,30.2,1013.5,68.71,1.25,135.92,0.0,56.96,6,7,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-12,Kodagu,24.54,25.55,20.0,34.07,1012.88,78.62,1.24,151.21,0.0,34.17,10,0,3,7,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-12,Mysuru,26.24,26.14,19.77,32.53,1013.12,54.21,2.22,98.83,0.0,19.04,1,0,6,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
